movie_id,person_id,character
558449,1597365,Emperor Geta
10681,60074,Captain (voice)
49026,3894,Bruce Wayne
49026,64,Commissioner Gordon
49026,2524,Bane
49026,24045,Blake
49026,1813,Selina
168259,12835,Dominic Toretto
168259,8167,Brian O'Conner
168259,18918,Luke Hobbs
10138,3223,Tony Stark
10138,12052,Pepper Potts
10138,1245,Natalie Rushman / Natasha Romanoff
10138,6807,Justin Hammer
22949,8891,Charlie
22949,2157,Dan
507089,27972,Mike
507089,2283930,Abby
244786,18999,Fletcher
263115,6968,Logan / X-24
263115,1464650,Laura
263115,39189,Caliban
546554,8784,Benoit Blanc
546554,16828,Ransom Drysdale
546554,224513,Marta Cabrera
546554,8944,Linda Drysdale
507086,73457,Owen Grady
507086,4784,Ellie Sattler
447273,90633,Evil Queen
575264,500,Ethan Hunt
575264,933238,Ilsa Faust
575264,556356,The White Widow
297762,90633,Diana Prince / Wonder Woman
297762,935,Hippolyta
297762,11207,Sir Patrick / Ares
718930,287,Ladybug
718930,125025,Prince
718930,27428,Tangerine
11324,6193,Teddy Daniels
11324,103,Chuck Aule
11324,2282,Dr. Cawley
11324,1812,Dolores
321612,10990,Belle
321612,7056,Mrs. Potts
321612,3061,Lumière
1726,3223,Tony Stark
1726,12052,Pepper Potts
38757,2372,Stabbington Brother (voice)
329865,9273,Louise Banks
329865,17604,Ian Donnelly
329865,72873,Agent Halpern
68721,3223,Tony Stark
68721,12052,Pepper Potts
68721,15277,Happy Hogan
653346,3905,Trevathan
675,10980,Harry Potter
675,10989,Ron Weasley
675,10990,Hermione Granger
675,1283,Bellatrix Lestrange
505642,1267329,Nakia
945961,1428070,Kay
283995,73457,Peter Quill / Star-Lord
283995,8691,Gamora
283995,543530,Drax
283995,12835,Baby Groot (voice)
283995,51329,Rocket (voice)
283995,6856,Ego
152601,73421,Theodore
152601,1245,Samantha (voice)
152601,73457,Paul
299537,2231,Nick Fury
453395,71580,Doctor Stephen Strange
453395,550843,Wanda Maximoff / The Scarlet Witch
453395,30082,Wong
453395,53714,Dr. Christine Palmer
49051,1327,Gandalf the Grey
242582,131,Louis Bloom
209112,880,Bruce Wayne / Batman
209112,73968,Clark Kent / Superman
209112,44735,Lex Luthor
209112,90633,Diana Prince / Wonder Woman
209112,9273,Lois
209112,2882,Martha Kent
257344,19292,Brenner
257344,32895,Cooper
257344,11705,Violet
257344,22970,Eddie
419430,206919,Chris Washington
419430,572541,Jeremy Armitage
1007734,59410,Hutch Mansell
1007734,935,Becca Mansell
1007734,150,Harry Mansell
49013,887,Lightning McQueen (voice)
49013,3895,Finn McMissile (voice)
49013,1241,Francesco Bernoulli (voice)
812583,8784,Benoit Blanc
812583,16851,Mons. Jefferson Wicks
812583,18973,Chief Geraldine Scott
812583,17604,Dr. Nat Sharp
1284120,3676023,Prince Julian
545611,1620,Evelyn Wang
545611,690,Waymond Wang
545611,8944,Deirdre Beaubeirdre
1175942,6807,Wolf (voice)
786892,1397778,Furiosa
786892,74568,Dementus
181812,2,Luke Skywalker
181812,25072,Poe Dameron
1124620,587020,Hal / Bill
1124620,109,Ted
284053,74568,Thor
284053,103,Bruce Banner / Hulk
284053,91606,Loki
284053,112,Hela
284053,17605,Heimdall
568124,5723,Bruno Madrigal (voice)
16869,287,LT. Aldo Raine
16869,27319,COL. Hans Landa
16869,16847,SGT. Donny Donowitz
16869,9824,Bridget von Hammersmark
603692,6384,John Wick
603692,1341,Caine
603692,137905,Marquis
603692,6972,Winston
12445,10980,Harry Potter
12445,10990,Hermione Granger
12445,10989,Ron Weasley
12445,5469,Lord Voldemort
1327862,1172108,Clara Grant
1327862,54697,Jonah Sullivan
1327862,2803710,Miller Adams
346364,1274508,Bill Denbrough
346364,1481238,Beverly Marsh
346364,1442069,Richie Tozier
315162,3131,Puss in Boots (voice)
315162,3136,Kitty Softpaws (voice)
315162,52583,Wolf (voice)
315162,1373737,Goldilocks (voice)
2062,21198,Emile (voice)
335983,2524,Eddie Brock / Venom
335983,1812,Anne Weying
351286,73457,Owen Grady
290859,2713,Sarah Connor
290859,1100,T-800 / Carl
20352,4495,Gru (voice)
20352,17743,Margo (voice)
539972,27428,Sergei Kravinoff / Kraven the Hunter
539972,934,Nikolai Kravinoff
616037,74568,Thor
616037,524,Jane Foster / The Mighty Thor
616037,3894,Gorr
616037,62561,King Valkyrie
616037,55934,Korg / Old Kronan God (voice)
616037,934,Zeus
330457,40462,Anna (voice)
207703,2231,Valentine
573435,2888,Mike Lowrey
324552,6384,John Wick
1930,37625,Spider-Man / Peter Parker
1930,54693,Gwen Stacy
1084199,36669,Sergey
298618,2232,Bruce Wayne / Batman
550988,10859,Guy
550988,1467219,Keys
550988,55934,Antwan
82690,165787,Sour Bill / Zangief (voice)
324786,37625,Desmond T. Doss
324786,65731,Captain Glover
12444,10980,Harry Potter
12444,10990,Hermione Granger
12444,10989,Ron Weasley
12444,1283,Bellatrix Lestrange
767,10980,Harry Potter
767,10989,Ron Weasley
767,10990,Hermione Granger
767,388,Horace Slughorn
293660,10859,Wade Wilson / Deadpool
293660,54882,Vanessa
98566,64295,Raphael
98566,19537,April O'Neil
49521,73968,Clark Kent / Superman / Kal-El
49521,9273,Lois Lane
49521,934,Jor-El
49521,1269,Jonathan Kent
8966,37917,Bella Swan
8966,11288,Edward Cullen
1865,85,Jack Sparrow
1865,955,Angelica
1865,6972,"Edward ""Blackbeard"" Teach"
1865,237455,Philip
426063,1459885,Ellen Hutter
426063,3292,Thomas Hutter
426063,137905,Count Orlok
426063,27428,Friedrich Harding
426063,5293,Prof. Albin Eberhart von Franz
296096,1223786,Louisa 'Lou' Clark
296096,237455,William 'Will' Traynor
296096,4391,Stephen Traynor
36557,8784,James Bond
36557,10912,Vesper Lynd
36557,1019,Le Chiffre
36557,2954,Felix Leiter
181808,2,Luke Skywalker / Dobbu Scay (voice)
181808,25072,Poe Dameron
559,2219,Spider-Man / Peter Parker
559,205,Mary Jane Watson
559,17051,New Goblin / Harry Osborn
508442,134,Joe Gardner (voice)
866398,976,Adam Clay
866398,27972,Derek Danforth
866398,16940,Wallace Westwyld
866398,1227776,Mickey Garnett
313369,30614,Sebastian
313369,54693,Mia
150689,1016168,Cinderella
150689,112,"Stepmother, Lady Tremaine"
150689,1640,Grand Duke
102651,11701,Maleficent
102651,18050,Princess Aurora
497698,1245,Natasha Romanoff / Black Widow
497698,1373737,Yelena Belova
497698,3293,Melina
497698,35029,Alexei
637649,976,H
474350,83002,Beverly Marsh
675353,11006,Tom Wachowski
675353,17605,Knuckles (voice)
675353,206,Dr. Robotnik
205596,71580,Alan Turing
205596,116,Joan Clarke
205596,1247,Hugh Alexander
1022787,8691,Olga Solís (voice)
350,5064,Miranda Priestly
350,1813,Andy Sachs
350,5081,Emily
350,2283,Nigel
102899,22226,Scott Lang / Ant-Man
140607,3,Han Solo
140607,2,Luke Skywalker
746036,30614,Colt Seavers
746036,5081,Jody Moreno
746036,27428,Tom Ryder
746036,1278487,Gail Meyer
131631,72129,Katniss Everdeen
131631,27972,Peeta Mellark
131631,57755,Haymitch Abernathy
131631,9281,Effie Trinket
131631,1231,President Alma Coin
845781,18918,Callum Drift
845781,16828,Jack O'Malley
845781,140,Zoe
845781,18999,Nick
281338,1333,Caesar
281338,57755,The Colonel
281338,18324,Bad Ape
374720,2524,Farrier
374720,11181,Commander Bolton
374720,2037,Shivering Soldier
14836,501,Coraline Jones (voice)
572802,117642,Arthur
572802,17178,Orm
572802,55085,Mera
572802,2227,Atlanna
1011477,18897,Mr. Han
1011477,11866,Victor Lipani
127585,6968,Logan / Wolverine
127585,1327,Magneto
127585,72129,Raven / Mystique
120467,5469,M. Gustave
120467,3490,Dmitri
120467,5293,Jopling
281957,6193,Hugh Glass
281957,2524,John Fitzgerald
281957,93210,Captain Andrew Henry
281957,93491,Jim Bridger
58,85,Jack Sparrow
58,116,Elizabeth Swann
58,2440,Davy Jones
82507,569,Ellison Oswalt
82507,928906,Tracy Oswalt
82507,7132,Professor Jonas
9502,70851,Po (voice)
9502,11701,Tigress (voice)
9502,4483,Shifu (voice)
9502,6972,Tai Lung (voice)
9502,18897,Monkey (voice)
9502,140,Viper (voice)
1072790,115440,Bea
1072790,83271,Ben
1124566,1640,Gustav Borg
1124566,18050,Rachel Kemp
87101,1223786,Sarah Connor
87101,1100,Guardian / The Terminator
87101,18999,O'Brien
370172,8784,James Bond
370172,121529,Madeleine
370172,17838,Lyutsifer Safin
370172,5469,M
260513,18686,Helen Parr / Elastigirl (voice)
10191,17276,Stoick (voice)
10191,21007,Snotlout (voice)
37799,44735,Mark Zuckerberg
37799,37625,Eduardo Saverin
138843,21657,Lorraine Warren
138843,17178,Ed Warren
524434,97576,Sersi
524434,11701,Thena
524434,3136,Ajak
454619,1772,Kate Sullivan
454619,239574,Leonardo Montenegro
260346,3896,Bryan Mills
260346,10696,Lenore St. John
284052,71580,Dr. Stephen Strange
284052,53714,Dr. Christine Palmer
284052,30082,Wong
284052,1019,Kaecilius
68726,56365,Raleigh Becket
68726,17605,Stacker Pentecost
68726,2372,Hannibal Chau
273248,2231,Major Marquis Warren
273248,6856,John 'The Hangman' Ruth
273248,10431,Daisy Domergue
273248,27740,Sheriff Chris Mannix
339403,1016168,Debora
339403,65717,Buddy
339403,134,Bats
339403,19498,Griff
12155,85,Tarrant Hightopp / Mad Hatter
12155,1813,Mirana / White Queen
12155,1283,Iracebeth / Red Queen
423108,21657,Lorraine Warren
423108,17178,Ed Warren
458156,6384,John Wick
458156,4587,Sofia
458156,6972,Winston
39254,6968,Charlie Kenton
353081,500,Ethan Hunt
353081,73968,August Walker
353081,933238,Ilsa Faust
316029,6968,P. T. Barnum
316029,29222,Phillip Carlyle
316029,1812,Charity Barnum
316029,933238,Jenny Lind
316029,505710,Anne Wheeler
337167,118545,Anastasia Steele
285,85,Jack Sparrow
285,116,Elizabeth Swann
285,2440,Davy Jones
402900,18277,Debbie Ocean
402900,112,Lou
402900,1813,Daphne Kluger
508883,585211,Gray Heron (voice)
76492,19292,Count Dracula (voice)
76492,62861,Jonathan Loughran (voice)
76492,32895,Frankenstein (voice)
57800,5723,Sid (voice)
264660,93210,Caleb
264660,227454,Ava
264660,25072,Nathan
566525,1489211,Shaun / Shang-Chi
566525,1337,Xu Wenwu
566525,2282,Trevor Slattery
882569,131,Master Sergeant John Kinley
436270,18918,Black Adam / Teth Adam
436270,83860,Hawkman / Carter Hall
436270,164945,Adrianna Tomaz
146233,6968,Keller Dover
146233,131,Detective Loki
146233,19492,Nancy Birch
37724,8784,James Bond
37724,5469,Gareth Mallory
47971,12835,Xander Cage
47971,1341,Xiang
47971,53975,Serena Unger
47971,2231,Agent Augustus Gibbons
75656,44735,J. Daniel Atlas
75656,57755,Merritt McKinney
75656,52848,Henley Reeves
75656,54697,Jack Wilder
75656,103,Dylan Rhodes
286217,1892,Mark Watney
286217,83002,Melissa Lewis
286217,454,Rick Martinez
337404,54693,Estella / Cruella
337404,7056,The Baroness
38365,19292,Lenny Feder
38365,32895,Eric Lamonsoff
38365,2632,Kurt McKenzie
38365,60949,Rob Hilliard
38365,3136,Roxanne Chase-Feder
72190,287,Gerry Lane
381288,1397778,Casey Cooke
381288,1286328,Claire Benoit
646385,974169,Tara Carpenter
198184,76788,Deon Wilson
198184,6968,Vincent Moore
198184,10205,Michelle Bradley
384018,18918,Luke Hobbs
384018,976,Deckard Shaw
384018,17605,Brixton
384018,556356,Hattie Shaw
384018,15735,Queenie Shaw
384018,1222992,Madame M
661374,8784,Benoit Blanc
661374,819,Miles Bron
661374,11661,Birdie Jay
495764,234352,Harley Quinn
495764,17628,Helena Bertinelli / Huntress
495764,59017,Dinah Lance / Black Canary
495764,3061,Roman Sionis
454626,11006,Tom Wachowski
454626,206,Dr. Robotnik
787699,1190668,Willy Wonka
110415,16828,Curtis
110415,228,Wilford
102382,37625,Spider-Man / Peter Parker
102382,54693,Gwen Stacy
102382,134,Electro / Max Dillon
102382,122889,Green Goblin / Harry Osborn
8681,3896,Bryan Mills
8681,10696,Lenore St. John
273481,5081,Kate Macer
273481,1121,Alejandro Gillick
273481,16851,Matt Graver
273481,19498,Ted
273481,206919,Reggie Wayne
293167,91606,Captain James Conrad
293167,2231,Lieutenant Colonel Preston Packard
293167,1230,Bill Randa
206647,8784,James Bond
206647,27319,Blofeld
206647,121529,Madeleine
206647,5469,M
206647,28782,Lucia
1087891,17838,Heller
1087891,72873,Schiller
425909,1172108,Phoebe
425909,1442069,Trevor
425909,22226,Grooberson
6977,2176,Ed Tom Bell
6977,16851,Llewelyn Moss
6977,57755,Carson Wells
18785,51329,Phil Wenneck
18785,58225,Alan Garner
62177,7056,Elinor (voice)
62177,477,The Witch (voice)
420809,11701,Maleficent
420809,18050,Princess Aurora
420809,1716493,Prince Phillip
301528,31,Woody (voice)
419743,3293,Ronit Krushka
419743,53714,Esti Kuperman
337339,12835,Dominic Toretto
337339,976,Deckard Shaw
337339,18918,Luke Hobbs
438148,4495,Gru (voice)
438148,124747,Kevin / Stuart / Bob / Minions (voice)
438148,15111,Jean Clawed (voice)
299054,976,Lee Christmas
299054,19537,Gina
299054,16644,Gunner Jensen
299054,57207,Decha
466420,6193,Ernest Burkhart
466420,380,William Hale
466420,88124,Tom White
792307,54693,Bella Baxter
792307,103,Duncan Wedderburn
792307,5293,Godwin Baxter
615457,59410,Hutch Mansell
615457,935,Becca Mansell
417859,3131,Puss in Boots (voice)
417859,3136,Kitty Softpaws (voice)
417859,58225,Humpty Dumpty (voice)
417859,879,Jack (voice)
646380,6193,Dr. Randall Mindy
646380,72129,Kate Dibiasky
646380,5064,President Orlean
646380,112,Brie Evantee
646380,21007,Jason Orlean
240832,1245,Lucy
240832,192,Professor Norman
527774,97576,Namaari (voice)
527774,30082,Tong (voice)
122906,93210,Tim Lake
122906,53714,Mary
122906,2440,Dad
122906,234352,Charlotte
530385,1373737,Dani
530385,93491,Mark
1422,6193,Billy
1422,1892,Colin
1422,514,Costello
1422,13240,Dignam
870028,880,Christian Wolff
870028,19498,Braxton
870028,18999,Ray King
291805,44735,J. Daniel Atlas
291805,103,Dylan Rhodes
291805,57755,Merritt McKinney / Chase McKinney
291805,54697,Jack Wilder
291805,10980,Walter Mabry
1124,6968,Robert Angier
1124,3894,Alfred Borden
1124,3895,Cutter
1124,15555,Julia McCullough
1124,1245,Olivia Wenscombe
464052,90633,Diana Prince
464052,1253360,Maxwell Lord
464052,935,Hippolyta
34851,3490,Royce
34851,27740,Stans
57158,1327,Gandalf the Grey
57158,71580,Smaug / Sauron
70981,6885,Meredith Vickers
70981,17605,Janek
1011985,70851,Po (voice)
1011985,19492,The Chameleon (voice)
1011985,4483,Shifu (voice)
1011985,17419,Li (voice)
166426,85,Jack Sparrow
166426,229932,Shansa
934433,974169,Tara Carpenter
1160360,9827,Linda
1160360,935669,Dr. Spring
398978,380,Frank Sheeran
398978,1158,Jimmy Hoffa
398978,4517,Russell Bufalino
398978,1037,Angelo Bruno
166428,112,Valka (voice)
166428,17276,Stoick (voice)
177677,500,Ethan Hunt
177677,17604,William Brandt
177677,933238,Ilsa Faust
82633,10959,Jack Bondurant
82633,2524,Forrest Bondurant
82633,64,Floyd Banner
82633,83002,Maggie Beauford
76338,74568,Thor
76338,524,Jane Foster
76338,91606,Loki
76338,4173,Odin
667538,2372,Optimus Primal (voice)
667538,22970,Scourge (voice)
667538,1620,Airazor (voice)
840705,38673,Slater
840705,1371297,Sarah
976573,11514,Brook (voice)
439079,17178,Ed Warren
810,776,Donkey (voice)
810,6941,Princess Fiona (voice)
810,3131,Puss in Boots (voice)
259316,998225,Queenie Goldstein
259316,72466,Percival Graves
135397,73457,Owen
135397,7132,Hoskins
339846,18918,Mitch Buchanan
339846,29222,Matt Brody
339846,77234,Victoria Leeds
339846,109513,Summer Quinn
10195,74568,Thor
10195,524,Jane Foster
10195,91606,Loki
10195,4173,Odin
10195,1640,Erik Selvig
262543,3131,Jacq Vaucan
262543,29369,Dr. Susan Dupré / Cleo (voice)
537915,1753914,Tessa Young
392044,11181,Hercule Poirot
392044,85,Edward Ratchett
392044,5293,Gerhard Hardman
270946,18864,Skipper (voice)
270946,12098,Kowalski (voice)
270946,12080,Rico (voice)
270946,6949,Dave (voice)
270946,71580,Classified (voice)
406997,1204,Isabel
406997,887,Nate
1371185,6968,Mike Sardina
1371185,11661,Claire Sardina
1371185,26473,Dr. Dave Watson
46195,44735,Blu (voice)
46195,1813,Jewel (voice)
46195,41087,Linda (voice)
38055,23659,Megamind (voice)
38055,287,Metro Man (voice)
38055,21007,Tighten (voice)
38055,7399,Bernard (voice)
141052,880,Batman / Bruce Wayne
141052,73968,Superman / Clark Kent
141052,9273,Lois Lane
141052,90633,Wonder Woman / Diana Prince
141052,117642,Aquaman / Arthur Curry
580489,2524,Eddie Brock / Venom
580489,57755,Cletus Kasady / Carnage
580489,1812,Anne Weying
580489,1115,Detective Mulligan
1242011,54697,Tim
490132,1817,Dolores
51876,51329,Edward Morra
51876,380,Carl Van Loon
447332,5081,Evelyn Abbott
447332,17697,Lee Abbott
404368,90633,Shank (voice)
396535,150903,Seok-woo
396535,1255881,Yeong-gook
225886,6941,Annie
10193,31,Woody (voice)
49444,70851,Po (voice)
49444,11701,Tigress (voice)
49444,4483,Shifu (voice)
49444,64,Lord Shen (voice)
49444,18897,Monkey (voice)
49444,140,Viper (voice)
44214,524,Nina Sayers / The Swan Queen
44214,18973,Lily / The Black Swan
44214,1920,Beth Macintyre / The Dying Swan
259693,21657,Lorraine Warren
259693,17178,Ed Warren
75612,500,Jack
75612,192,Beech
75612,18182,Julia
577922,11288,Neil
577922,11181,Sator
577922,3895,Crosby
420817,2888,Genie / Mariner
330459,1341,Chirrut Imwe
330459,77301,Baze Malbus
640146,22226,Scott Lang / Ant-Man
383498,10859,Wade Wilson / Deadpool / Juggernaut (voice)
383498,16851,Cable
383498,54882,Vanessa
635302,233590,Inosuke Hashibira (voice)
635302,9705,Giyu Tomioka (voice)
62835,8691,Cataleya Restrepo
648878,73421,Joe Cross
648878,54693,Louise Cross
648878,1253360,Ted Garcia
10192,776,Donkey (voice)
10192,6941,Princess Fiona (voice)
10192,3131,Puss in Boots (voice)
10192,118489,Rumpelstiltskin / Priest / Krekraw Ogre (voice)
48138,3896,Dr. Martin Harris
48138,9824,Gina
615777,234352,Nellie LaRoy
615777,287,Jack Conrad
639720,10859,Cal
639720,17697,Dad / Marshmallow (voice)
639720,4495,Blue (voice)
13183,17178,Dan Dreiberg / Nite Owl II
13183,1247,Adrian Veidt / Ozymandias
13183,47296,Edward Blake / The Comedian
1241436,93491,Erik
1241436,1512452,John
62211,1230,Sullivan (voice)
62211,15735,Dean Hardscrabble (voice)
62211,21198,Squishy (voice)
93456,4495,Gru (voice)
93456,17743,Margo (voice)
12403,18324,Cliff
12403,63,Cydney
12403,18082,Nick
